교과군,과목명,과목 개요,담당 교사 코멘트 (평가 방식 및 추천 대상 등)
사회,통합사회2,‘통합사회2’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,한국지리 탐구,우리 국토의 자연환경과 인문환경을 이해하고 지역 문제의 합리적 해결책을 모색하는 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,사회와 문화,"사회 현상의 탐구 방법과 문화적 다양성, 사회 불평등 등의 현대 사회 이슈를 학습하는 과목입니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,세계사,인류 문명의 발생부터 현대 세계의 형성까지 전 지구적 역사의 흐름을 통찰하는 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,윤리와 사상,동서양의 주요 사상과 윤리 이론을 학습하고 삶의 가치관을 성찰하는 일반선택 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,법과 사회,‘법과 사회’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,동아시아 역사 기행,‘동아시아 역사 기행’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,현대사회와 윤리,‘현대사회와 윤리’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,세계시민과 지리,‘세계시민과 지리’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,경제,"희소성과 기회비용, 시장 경제의 원리 및 국가 경제의 지표와 정책을 이해하는 과목입니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,정치,"민주주의 원리, 정부 형태, 법의 지배 등 현대 민주사회 시민으로서 갖춰야 할 지식을 배웁니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,역사로 탐구하는 현대 세계,‘역사로 탐구하는 현대 세계’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,여행지리,‘여행지리’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,사회문제 탐구,‘사회문제 탐구’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,윤리문제 탐구,‘윤리문제 탐구’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,기후변화와 지속가능한 세계,‘기후변화와 지속가능한 세계’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,금융과 경제생활,‘금융과 경제생활’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,인문학과 윤리,‘인문학과 윤리’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,통합과학1,"자연의 구성 물질과 시스템, 에너지의 흐름을 융합적으로 이해하는 공동 필수 과학 과목입니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,통합과학2,‘통합과학2’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,과학탐구실험1,실험과 관찰을 통해 과학적 탐구 능력을 기르고 문제 해결의 즐거움을 직접 체험하는 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,과학탐구실험2,‘과학탐구실험2’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,물리학,"역학, 전자기학, 파동 등 자연계의 물리적 법칙과 에너지의 상호작용을 탐구하는 과목입니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,화학,"물질의 구조와 성질, 화학 반응과 양적 관계를 파헤쳐 분자 수준의 세계를 이해하는 과목입니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,생명과학,"생명체의 유지 시스템과 유전, 생태계의 상호작용을 통해 생명의 존엄성을 배우는 과목입니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,지구과학,"지각 변동, 대기와 해양의 순환, 우주의 기원 등 지구와 우주 시스템을 종합 탐구하는 과목입니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,역학과 에너지,‘역학과 에너지’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,물질과 에너지,‘물질과 에너지’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,세포와 물질대사,‘세포와 물질대사’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,지구시스템과학,‘지구시스템과학’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,전자기와 양자,‘전자기와 양자’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,화학 반응의 세계,‘화학 반응의 세계’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,생물의 유전,‘생물의 유전’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,행성우주과학,‘행성우주과학’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,융합과학 탐구,‘융합과학 탐구’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,고급 물리학,‘고급 물리학’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,고급 화학,‘고급 화학’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,과학의 역사와 문화,‘과학의 역사와 문화’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
과학,기후변화와 환경생태,‘기후변화와 환경생태’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
체육,체육1,‘체육1’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
체육,체육2,‘체육2’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
체육,스포츠 생활1,‘스포츠 생활1’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
체육,스포츠 생활2,‘스포츠 생활2’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
예술,음악,‘음악’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
예술,미술,‘미술’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
정보,정보,컴퓨팅 사고력을 키우고 파이썬 등을 활용한 프로그래밍과 데이터 기초 실무를 습득하는 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
정보,소프트웨어와 생활,‘소프트웨어와 생활’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
정보,인공지능 기초,"인공지능의 개념, 데이터 분석 원리, 그리고 AI가 사회에 미치는 영향을 탐색하는 과목입니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
교양,진로와 직업,자신의 적성과 흥미를 탐색하고 미래 진로 및 직업 세계를 주도적으로 설계하는 교양 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
교양,생태와 환경,기후변화와 지구 생태계의 위기를 인식하고 지속 가능한 삶을 위한 환경 소양을 기르는 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
